T_K,D_Xe_tot,D1_Xe,D3_Xe,D2_Xe_diagnostic,D_v_tot,D1_v,D3_v,D2_v_paper_broken
1855.2763819095478,5.949816950698358e-17,5.940566950698358e-17,9.25e-20,9.424537391556675e-103,5.69124232663845e-18,5.69099432663845e-18,2.48e-22,2.157276731653689e-07
1862.3115577889448,6.685328064932171e-17,6.676078064932171e-17,9.25e-20,1.118972400814901e-102,6.505590882542435e-18,6.5053428825424355e-18,2.48e-22,2.100962457343695e-07
1869.3467336683418,7.505315174029536e-17,7.496065174029536e-17,9.25e-20,1.329021313687941e-102,7.42898622945919e-18,7.42873822945919e-18,2.48e-22,2.0466160224039713e-07
1876.3819095477388,8.418708449598047e-17,8.409458449598047e-17,9.25e-20,1.5790214337243375e-102,8.47501289187079e-18,8.474764891870789e-18,2.48e-22,1.9941539792894207e-07
1883.4170854271358,9.435298278987919e-17,9.426048278987919e-17,9.25e-20,1.876627810456577e-102,9.658818341153428e-18,9.658570341153428e-18,2.48e-22,1.9434969882953757e-07
1890.4522613065326,1.0565809765782528e-16,1.0556559765782528e-16,9.25e-20,2.2309667968636312e-102,1.0997277540207939e-17,1.0997029540207938e-17,2.48e-22,1.8945695890635663e-07
1897.4874371859296,1.1821982923150022e-16,1.181273292315002e-16,9.25e-20,2.652918721270824e-102,1.2509173146027358e-17,1.2508925146027358e-17,2.48e-22,1.8472999861876567e-07
1904.5226130653266,1.3216658933030778e-16,1.3207408933030777e-16,9.25e-20,3.155454686031294e-102,1.4215392694194694e-17,1.4215144694194695e-17,2.48e-22,1.8016198479661142e-07
1911.5577889447236,1.4763872864083837e-16,1.4754622864083835e-16,9.25e-20,3.7540377961620195e-102,1.613914418628103e-17,1.613889618628103e-17,2.48e-22,1.7574641174197532e-07
1918.5929648241206,1.6478953262045065e-16,1.6469703262045064e-16,9.25e-20,4.467101066224645e-102,1.8306191603986522e-17,1.8305943603986523e-17,2.48e-22,1.714770834755587e-07
1925.6281407035176,1.8378629047679786e-16,1.8369379047679785e-16,9.25e-20,5.316616562275942e-102,2.0745111982908052e-17,2.0744863982908053e-17,2.48e-22,1.6734809705177243e-07
1932.6633165829146,2.0481144179860726e-16,2.0471894179860725e-16,9.25e-20,6.328773074713444e-102,2.348757579431143e-17,2.3487327794311432e-17,2.48e-22,1.6335382687206716e-07
1939.6984924623116,2.280638056447464e-16,2.2797130564474637e-16,9.25e-20,7.534782866566801e-102,2.6568652505518303e-17,2.6568404505518304e-17,2.48e-22,1.5948890993107693e-07
1946.7336683417086,2.5375989713884787e-16,2.5366739713884786e-16,9.25e-20,8.971841893858405e-102,3.002714331877761e-17,3.002689531877761e-17,2.48e-22,1.5574823193479294e-07
