source	case	temperature	pu_m_percent	om	exp_mu	sci_mu	residual
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_14p98	1823.0	14.98	2.005	-203.7	-242.3184	-38.61840000000001
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_14p98	1823.0	14.98	2.01	-190.5	-221.4242148514862	-30.924214851486198
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_14p98	1823.0	14.98	2.011	-187.8	-218.54126930693056	-30.741269306930548
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_14p98	1823.0	14.98	2.017	-182.0	-205.36150396039585	-23.36150396039585
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_14p98	1823.0	14.98	2.025	-172.0	-193.67602574257424	-21.67602574257424
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_14p98	1823.0	14.98	2.035	-157.9	-183.47812673267305	-25.57812673267304
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_14p98	1823.0	14.98	2.038	-162.6	-180.98542475247547	-18.385424752475473
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_14p98	1823.0	14.98	2.054	-154.0	-170.33382772277233	-16.333827722772327
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_14p98	1823.0	14.98	2.088	-139.6	-155.53022970297022	-15.930229702970223
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_14p98	1823.0	14.98	2.106	-130.3	-149.8888	-19.588799999999992
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_31p44	1823.0	31.44	2.002	-187.8	-219.1654	-31.365399999999994
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_31p44	1823.0	31.44	2.006	-157.9	-186.368600000001	-28.468600000001004
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_31p44	1823.0	31.44	2.017	-143.9	-154.79976666666653	-10.899766666666522
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_31p44	1823.0	31.44	2.032	-139.6	-135.62929999999986	3.970700000000136
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_31p44	1823.0	31.44	2.044	-129.5	-125.97619999999989	3.523800000000108
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_31p44	1823.0	31.44	2.052	-130.3	-120.91244444444447	9.387555555555537
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_31p44	1823.0	31.44	2.057	-119.1	-118.12948888888891	0.9705111111110796
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_31p44	1823.0	31.44	2.065	-117.6	-114.14840000000001	3.451599999999985
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1823K_q_31p44	1823.0	31.44	2.074	-112.3	-110.2171	2.082899999999995
Dawar2016	Dawar2016/T_1073K_q_46	1073.0	46.0	1.9897	-512.61	-590.0312	-77.4212
Dawar2016	Dawar2016/T_1073K_q_46	1073.0	46.0	1.9915	-502.01	-583.2445786407768	-81.23457864077682
Dawar2016	Dawar2016/T_1073K_q_46	1073.0	46.0	1.9931	-496.26	-575.9047737864071	-79.64477378640709
Dawar2016	Dawar2016/T_1073K_q_46	1073.0	46.0	1.9984	-465.87	-526.3513116504862	-60.48131165048619
