T_K,burnup_percent_fima,fgr_percent,swelling_total_percent,swelling_gas_total_percent,swelling_solid_percent,F_c
2200.0,2.1521739130434785,26.81439871533116,72.41271680857187,71.33662985205014,1.0760869565217392,0.5
2200.0,2.4086956521739133,29.7872177953649,73.99243737113709,72.78808954505013,1.2043478260869567,0.5
2200.0,2.665217391304348,32.537681001839054,74.88831446937665,73.55570577372448,1.332608695652174,0.5
2200.0,2.921739130434783,35.09796170837534,75.53797032942204,74.07710076420464,1.4608695652173913,0.5
2200.0,3.1782608695652175,37.49327208906647,76.06197036232311,74.4728399275405,1.5891304347826085,0.5
2200.0,3.4347826086956523,39.7400049049975,76.51046330632701,74.79307200197918,1.7173913043478262,0.5
2200.0,3.691304347826087,41.8527354980126,76.90897078821524,75.0633186143022,1.8456521739130438,0.5
2200.0,3.947826086956522,43.84454169485347,77.27238525617493,75.29847221269667,1.973913043478261,0.5
2200.0,4.2043478260869565,45.72409419729897,77.61009510431374,75.50792119127027,2.1021739130434782,0.5
2200.0,4.460869565217391,47.500438560530085,77.92836915709465,75.69793437448595,2.2304347826086954,0.5
2200.0,4.717391304347826,49.18188351982392,78.231745960871,75.87305030869709,2.358695652173913,0.5
2200.0,4.973913043478261,50.77413242041976,78.5234075615206,76.03645103978147,2.4869565217391303,0.5
2200.0,5.230434782608696,52.28376795257977,78.8056981635622,76.19048077225786,2.615217391304348,0.5
2200.0,5.48695652173913,53.71657255474987,79.0805654447411,76.33708718387153,2.7434782608695647,0.5
2200.0,5.743478260869566,55.07676742024271,79.34933187537685,76.47759274494206,2.8717391304347832,0.5
2200.0,6.0,56.369566080809165,79.61302624925814,76.61302624925814,3.0,0.5
