Time (h)	Location	Phase	Phase instance	Moles (mol/m3)	Form units (mol/m3)	Sublattice	Sites	Constituent	Site fraction
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	MO3O9	1e-30
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	MO4O12	1e-30
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	MO5O15	1e-30
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	MOO	2.744118295e-16
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	MOO2	2.773917474e-16
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	MOO3	4.149240436e-18
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	O	2.592747315e-14
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	O2	8.520077225e-18
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	O3	1e-30
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	PD	6.636883597e-07
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	RH	4.068270313e-14
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	RU	5.56478315e-15
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	TC	3.515030517e-15
2.018016	at grain boundary	HALITE	HALITE#2	0.08240611227	0.04120305614	1	1	BA+2	1
2.018016	at grain boundary	HALITE	HALITE#2	0.08240611227	0.04120305614	1	1	VA	4.816757177e-12
2.018016	at grain boundary	HALITE	HALITE#2	0.08240611227	0.04120305614	2	1	O-2	1
2.018016	at grain boundary	HALITE	HALITE#2	0.08240611227	0.04120305614	2	1	VA	4.815399135e-12
2.018016	at grain boundary	HCP_A3	HCP_A3	0.3001863068	0.3001863068	1	1	BA	3.02132953e-07
2.018016	at grain boundary	HCP_A3	HCP_A3	0.3001863068	0.3001863068	1	1	CS	0.004528135958
2.018016	at grain boundary	HCP_A3	HCP_A3	0.3001863068	0.3001863068	1	1	MO	0.3036327003
2.018016	at grain boundary	HCP_A3	HCP_A3	0.3001863068	0.3001863068	1	1	PD	0.262039157
2.018016	at grain boundary	HCP_A3	HCP_A3	0.3001863068	0.3001863068	1	1	RH	0.08180058963
2.018016	at grain boundary	HCP_A3	HCP_A3	0.3001863068	0.3001863068	1	1	RU	0.27451723
