number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,user_attrs_Dg_dislocation_scale,user_attrs_Dv_dislocation_scale,user_attrs_K_d,user_attrs_f_n,user_attrs_score_Rd,user_attrs_score_gas_partition,user_attrs_score_guard,user_attrs_score_pressure_eq,user_attrs_score_swelling_d,user_attrs_score_total,state
51,2.8155506418597125,5.0820029401527105,12.701044329779482,2162908.600886586,9.194347578466126e-06,5.0820029401527105,12.701044329779482,2162908.600886586,9.194347578466126e-06,1.6329342252420107,0.6810612854268512,0.0,4.5203010875506473e-07,0.4714578611534917,2.8155506418597125,COMPLETE
52,4.051873392999939,10.220860616722176,9.456862087679829,1148045.6692370297,9.887597283199323e-06,10.220860616722176,9.456862087679829,1148045.6692370297,9.887597283199323e-06,0.4231652898570465,0.2418041349052196,3.265561443781049,1.7747157289294695,0.07605552893820187,4.051873392999939,COMPLETE
53,3.7932964777302054,5.975661610936684,17.08865649226063,1407234.9862136503,4.836071448019702e-06,5.975661610936684,17.08865649226063,1407234.9862136503,4.836071448019702e-06,0.8353857659202464,0.32230048461560096,2.149821838062706,1.5514027985075136,0.18328934346039596,3.7932964777302054,COMPLETE
54,3.550244214633818,2.6473194579622987,9.379754140616496,1274290.9443827537,4.186566927422745e-06,2.6473194579622987,9.379754140616496,1274290.9443827537,4.186566927422745e-06,1.4824949856791145,1.228155464472865,0.0,1.2407541179957156e-07,0.6030619825524236,3.550244214633818,COMPLETE
55,3.2604212414663674,4.998008460411191,11.108350702043436,842119.0997177472,4.224174337079907e-06,4.998008460411191,11.108350702043436,842119.0997177472,4.224174337079907e-06,0.530841315464603,0.3934801895428521,1.9047718485618548,1.2813328500924304,0.1685383740950535,3.2604212414663674,COMPLETE
56,2.1346298961063974,4.730030704945372,15.44248275499489,1288553.107655569,7.323412973814979e-06,4.730030704945372,15.44248275499489,1288553.107655569,7.323412973814979e-06,1.0529281627319134,0.6263136665345784,0.0,1.5388656631803994e-06,0.36994090186093187,2.1346298961063974,COMPLETE
57,2.2243224303329336,3.6313525144406786,18.492754398463916,625633.0885810707,8.167606972597805e-06,3.6313525144406786,18.492754398463916,625633.0885810707,8.167606972597805e-06,0.6553606040107869,0.93127982633408,0.0,3.1886080000220623e-06,0.39704326194214007,2.2243224303329336,COMPLETE
58,7.888434080769656,1.1154878848952063,18.160680762895204,4284937.0580873005,3.2711563904532678e-06,1.1154878848952063,18.160680762895204,4284937.0580873005,3.2711563904532678e-06,4.41936091279094,2.3867518249967783,0.0,2.692328668692763e-07,0.8949562873712129,7.888434080769656,COMPLETE
59,2.7836143827030035,8.535683446685887,2.1934213968699625,2184098.7199511686,9.678815992767452e-06,8.535683446685887,2.1934213968699625,2184098.7199511686,9.678815992767452e-06,1.1355969738255665,0.2763658531734712,1.128219978575496,0.7361494637169524,0.20003240077630238,2.7836143827030035,COMPLETE
60,1.9581416646448324,6.324720858622377,16.34661138733051,2469253.4261517636,5.151708427505753e-06,6.324720858622377,16.34661138733051,2469253.4261517636,5.151708427505753e-06,1.3929821595035325,0.34293796978720154,0.0,1.5828721309085056e-06,0.2854663314690172,1.9581416646448324,COMPLETE
61,2.234220474372202,5.797358679980751,8.336350741334744,3085571.8915074607,3.414198567833719e-06,5.797358679980751,8.336350741334744,3085571.8915074607,3.414198567833719e-06,1.6506021475447352,0.34989132771934667,0.0,1.8283879800679913e-06,0.327259610115688,2.234220474372202,COMPLETE
62,4.057028368911738,9.573109888795736,16.83642418138794,2972640.9580255817,3.412196215186358e-06,9.573109888795736,16.83642418138794,2972640.9580255817,3.412196215186358e-06,1.1042258678390304,0.2196343241216483,2.241725235317249,1.8688299972476308,0.07500358327334533,4.057028368911738,COMPLETE
63,1.8261290297112542,6.230684818050202,10.927415931440615,2201550.575610686,5.055630606557903e-06,6.230684818050202,10.927415931440615,2201550.575610686,5.055630606557903e-06,1.2696940530579215,0.3387322782252346,0.0,4.7692223922930945e-06,0.26655090956732325,1.8261290297112542,COMPLETE
64,2.1235747415812396,6.070813872054903,17.571162064880575,2285503.7436430654,6.600517850567317e-06,6.070813872054903,17.571162064880575,2285503.7436430654,6.600517850567317e-06,1.410747743738274,0.41902682575892525,0.0,1.1210827203863888e-06,0.33017690878701156,2.1235747415812396,COMPLETE
65,3.692957151123,4.9978912750920506,15.051193398448865,3769519.998854773,8.374319150543983e-06,4.9978912750920506,15.051193398448865,3769519.998854773,8.374319150543983e-06,2.4083619328305534,0.7607167194228627,0.0,1.8895513299791984e-07,0.5712327228269205,3.692957151123,COMPLETE
66,2.291703317925221,4.8796715259149,13.304017932343971,2483808.311312445,3.078574736196609e-06,4.8796715259149,13.304017932343971,2483808.311312445,3.078574736196609e-06,1.530224060539289,0.44383083913570975,0.0,9.225491018655563e-07,0.36002789885093595,2.291703317925221,COMPLETE
