label,f_n,K_d,rho_d,fission_rate,Dv_scale,capture_scale,Dg_scale,b_scale,gb_scale,gd_scale,nu_scale,coalescence_d_scale,dt_h,n_modes,use_full_exp,score_total,score_swd,score_swig_diag,score_Nd,score_Rd,score_pressure,highT_penalty,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,swD_3p2_1800K,Rd_1p3_1800K,swD_3p2_2000K,Rd_1p3_2000K
PHYS_0001,1e-07,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.485534609507257,2.3848327789182453,3.9470672071293786,0.5445674748669082,0.08925983463019474,0.056541689196942635,0.4103328318949657,5.084614837295902,0.7950150180853155,100.13469508493941,1.208970522818084e+19,10.317596306162786,4.259409814764662,0.0009770591436932255,0.22367241135632876,0.22367241135632876,38.28365505394744,182.59917735232983,60.516641594748286,416.3029147244497
PHYS_0072,3e-07,800000.0,30000000000000.0,5e+19,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.574400340388933,2.126238456409616,4.03546860808651,0.6426505968502263,0.1624342457655673,0.027659400762290638,0.6154176406012325,4.671647512635085,1.0773554766404947,82.74403371612382,1.9686630566384337e+19,9.887862952538612,5.035508133577189,0.0,0.0,0.0,45.251966145311265,150.01323229048128,65.51891588475036,268.32803605130135
PHYS_0023,3e-08,300000.0,60000000000000.0,3.5e+19,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.6703965219655275,2.549376561782599,2.8481692375417103,0.5848885532892946,0.10167665722455381,0.09257952753941825,0.3418752221296616,5.160217506284825,0.03415499839702088,94.84155756252208,1.4440537724229749e+19,11.040595331768094,0.5102964622309922,0.0,0.0,0.0,33.34694950663661,156.84628477942874,57.09376110648308,292.41498234749275
PHYS_0024,3e-08,800000.0,30000000000000.0,7.5e+19,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.672066915940139,2.419017626121458,3.7545130413499552,0.6449355687180977,0.14631888366543364,0.060780264467810624,0.4010145729673391,5.1699338436140305,0.4829506792897163,86.22092135792226,1.925565952304255e+19,10.630921519094946,3.544681601606465,0.0005194339971219693,0.08199426187234142,0.08199426187234142,36.48894542297867,140.48567614196273,60.050728648366956,216.34095757282196
PHYS_0052,3e-07,800000.0,60000000000000.0,3.5e+19,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.87964704589092,2.317566784636331,3.1429144046436113,0.8664573470124426,0.25510750897236284,0.05793999459655854,0.3825754106732249,4.996071828741721,0.20501887800314877,67.49138672285379,3.8796719930256474e+19,10.904733735625829,1.808427908958865,0.0,0.0,0.0,34.64462319013348,97.1917913433998,59.128770533661246,117.69429589871524
PHYS_0048,1e-06,300000.0,10000000000000.0,3.5e+19,3.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.8839338844199407,1.2592218771577715,2.1537137878332477,0.7419025884066419,0.06882963209976964,0.018013371643781338,1.7959664151119765,1.2785924644845792,2.032039551237699,102.3299459902886,2.8486250991450957e+18,2.6357295996827217,6.71524920702537,0.00012049828023102263,0.012752607571770155,0.012752607571770155,26.95658423212466,228.04163063185163,63.378193631003164,1464.2012712459566
PHYS_0063,1e-07,300000.0,60000000000000.0,7.5e+19,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.9213755889627815,2.790021459143101,3.47514505595721,0.5760155408220258,0.08967348808701874,0.0752501900597536,0.390414910850882,5.581615010268908,0.15461991676748074,97.97278309836516,1.4169513297177258e+19,11.518943066029976,1.6322526043826662,0.0,0.0,0.0,36.30169608444581,163.48864635347635,59.5207455425441,307.46020208247637
PHYS_0076,1e-07,300000.0,60000000000000.0,7.5e+19,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.9348410929320883,2.8033976315089384,3.471944100594776,0.5759890094829313,0.08959759324232222,0.075404819649111,0.3904520390487852,5.584723844196575,0.1515416495859817,97.99389105169205,1.4168245900996415e+19,11.577546088918833,1.5629829933384602,0.0004364205392084678,0.0700136824063026,0.0700136824063026,36.327585904092984,163.49916845305566,59.52260195243926,307.4686061293215
PHYS_0053,3e-08,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.9672997606818923,2.8828623409020966,4.135349288870698,0.539903458533516,0.06709115167430107,0.06714578880452832,0.4102970207674504,5.7092013864617694,0.4469637892663604,105.08865445640443,1.1744086978706993e+19,11.770802229830506,3.2224116392081297,0.0011685824282513617,0.2794204662941922,0.2794204662941922,38.45684682185449,183.89810029794396,60.51485103837252,416.6928453318506
PHYS_0043,1e-08,500000.0,60000000000000.0,3.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,4.136998113160855,2.808768196243958,2.9219001415703647,0.7092321882575275,0.16852804607532734,0.08607535372651119,0.3643943288575312,5.32353568975255,0.009827268661283582,81.02844300542223,2.3889060986424422e+19,11.904220542441305,0.138648644749686,0.0008785091051669929,0.27255372871936945,0.27255372871936945,34.313815604445864,124.09853376491321,58.21971644287656,179.0696278436879
