stage,variant,model_id,description,rizk_coherent,nucleation_gas_coupling,phi_resolution_mode,bulk_dislocation_capture,dt_h,n_modes,f_n,K_d,g_d_scale,seed_nm,score_main,score_swd,score_swig_diag,score_Nd,score_Rd,score_pressure,highT_blowup_diag,probe_swelling_d_1600_13,probe_swelling_ig_1600_13,probe_Nd_1600_13,probe_Rd_nm_1600_13,probe_p_b_over_eq_1600_13,probe_p_d_over_eq_1600_13,probe_capture_fraction
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-10,200000.0,0.5,0.0,1.4042299964153313,0.9523379357412698,1.7402087230374552,0.5656799355108674,0.0798801511663635,0.0,3.0722011091751757,2.2922900480679136,4.061494204879484,5.460113177262981e+18,100.07519344220711,1.0055010337066346,1.078066983535111,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-07,200000.0,2.0,0.0,1.4052965248071299,0.958653530615603,1.223356483502553,0.564766256408233,0.07329516386537685,0.0,3.6036234830101086,2.4222506661012737,3.5016175589138916,5.430179781970905e+18,102.11873400567042,1.0003040614480658,1.0850616385588017,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-09,200000.0,1.0,0.0,1.4107572813056926,0.9744625280663445,1.6802080009383906,0.5642766846239815,0.05900153428937301,0.0,3.650092924461782,2.734656805160879,4.081101816121569,5.358300337468027e+18,106.80601781299514,1.0014495614260017,1.1407214386483742,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-10,200000.0,0.5,0.0,1.4212160966452085,0.9891840209157226,2.112261455885056,0.5644459740294876,0.052742705584063666,0.0,3.409729739685181,2.901977786517123,4.5842653384176835,5.319917729505204e+18,109.20273599511965,1.0120444981901473,1.2014129183742985,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-10,300000.0,0.5,0.0,1.4220722208675696,0.973412063544861,1.599636492505968,0.49519502834828644,0.1457480535412974,0.0,2.9326173763435266,2.066084321679657,3.8290713824660276,8.268753068055297e+18,84.17952484872588,1.0055131247403188,1.0257191710293405,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-08,300000.0,2.0,0.0,1.4333183390997515,1.028701724069754,1.5989870941873232,0.48505764608981367,0.09296608966732553,0.0,4.042602738277034,3.048707086298004,4.076984028047466,7.929749031567822e+18,97.18275713825655,1.0006411699632323,1.1184515743778243,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-08,800000.0,2.0,0.0,1.4366099725028794,0.8697460036057254,1.2039838285535587,0.5559322731299269,0.25387339672315035,0.0,3.7992597953323757,2.4117300645636743,3.412423152409715,2.1730320048966033e+19,64.22803791739436,1.0006822052020838,1.0120202710027255,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-07,800000.0,3.0,0.0,1.4424127226501553,0.8990231494010503,1.3324835878614696,0.5463214125005301,0.22994940642676284,0.0,4.149230582021539,2.8794395730235864,3.7298972258327505,2.13005854552977e+19,68.59239068057887,1.0004629932362328,1.027724633237034,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-06,800000.0,5.0,0.0,1.4426803885845398,0.8938495909198025,1.1748737090449555,0.5478915241412202,0.23615247252269014,0.0,4.224142059374515,2.736441734175662,3.510786451370365,2.143163901152958e+19,67.29984595756832,1.000167624166315,1.0220097454675259,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-07,200000.0,3.0,0.0,1.4432515048790915,1.0086791757733988,1.3712047388438133,0.5636029286555564,0.05721468435257591,0.0,3.9611560152981284,2.810311666679763,3.764942442169694,5.340996341134207e+18,107.89828261124836,1.0002040442856464,1.1483302606521923,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-06,500000.0,5.0,0.0,1.4481485280283228,1.010122424707324,1.387156632094979,0.46807277624599725,0.15767879992685838,0.0,4.323441061355459,3.072081812749428,3.8597518812649008,1.320294936095058e+19,82.20364406393169,1.0001606481281407,1.0630097987347362,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-07,500000.0,3.0,0.0,1.4689758695773911,1.0354130822608714,1.5481177414581737,0.4670753884594747,0.15230002199269652,0.0,4.2572450074953485,3.2032302969650033,4.070985862125302,1.3128260014381148e+19,83.51493129737679,1.0004444349958292,1.0752294499854753,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-06,200000.0,3.0,0.0,1.4707631829210859,1.0087171427007362,0.9336878477334951,0.5657992020491591,0.09426656969419751,0.0,3.3764685752038064,2.046952260738226,3.0363736976373557,5.517009055556406e+18,96.03697439552606,1.0001020195656876,1.0426427494383725,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-08,200000.0,1.0,0.0,1.4740267541482388,1.0099819235428138,1.2134585408994087,0.5664233531637397,0.09649783341543891,0.0,3.118850025057306,2.0137769096025657,3.3644366251250877,5.524689518041974e+18,95.47103346780092,1.0007436831514467,1.0391627814671462,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-09,300000.0,1.0,0.0,1.4851927531798677,1.0882157806596768,2.004578368325469,0.48419336061411594,0.08291660012901399,0.0,3.9207929271054573,3.2906008711453305,4.551401344444163,7.847101347864411e+18,100.03664370706714,1.0028616715120506,1.1714180199015536,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-10,800000.0,0.5,0.0,1.4859160023143188,0.8998751208546991,1.6027143705638274,0.5640238402867439,0.2731774189412842,0.0,2.8301749886771637,2.136851925256263,3.7563012113475347,2.198416662992426e+19,61.450478738410496,1.0120056380984317,1.010820136278861,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-06,300000.0,3.0,0.0,1.5314099442651035,1.069208776497021,0.8424807620593632,0.4967912538530342,0.16349612867279792,0.0,3.273248733198498,1.7939067485041422,2.7818329950431337,8.363801644936931e+18,80.00230684176495,1.000102818616617,1.0104857926932285,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-08,200000.0,2.0,0.0,1.5317177067470662,1.1047184065693147,1.6996392265588192,0.5633459885237395,0.04665301173019122,0.0,4.09711094356523,3.1634702173498743,4.200159869077594,5.260342944457125e+18,112.81158317593182,1.0006300867792943,1.2268056578662403,0.0
