data_set,obs,group,label,rank,relevance,conditions,bu,T,y,w,pred,lev,cook
C,radius,ZAC,ZAC-Std-63 1 ECD50/2,U,3.0,model/model,121.0,677.45,2.5e-07,0.25,1.5590477081977165e-07,0.0026397179425505695,0.0001997721167434372
C,theta,ZAC,ZAC-Std-73 0 Theta,B,3.0,model/model,68.3,1111.85,2.2656,1.0,2.6410536387876795,0.007068822805611212,8.862493154243214e-05
C,fraction,ZAC,ZAC-Std-73 0 f10,B,3.0,model/model,68.3,1111.85,0.011000000000000001,1.0,0.18233929319863107,0.01094752276762043,0.0036139270885962595
C,radius,ZAC,ZAC-Std-73 0 ECD50/2,B,3.0,model/model,68.3,1111.85,6.5e-07,1.0,5.909255847456978e-07,0.11604204705754317,0.017626143336197036
C,theta,ZAC,ZAC-Std-73 0.1 Theta,B,3.0,model/model,68.3,1106.55,0.7348000000000001,1.0,2.6410536387876795,0.007068822805613189,0.002284570942263057
C,fraction,ZAC,ZAC-Std-73 0.1 f10,B,3.0,model/model,68.3,1106.55,0.035,1.0,0.18233929319863107,0.01094752276762306,0.0026724070491127585
C,theta,ZAC,ZAC-Std-73 0.24 Theta,B,3.0,model/model,68.3,1081.75,1.5508,1.0,2.6410536387876795,0.007068822805612788,0.0007473058240665793
C,fraction,ZAC,ZAC-Std-73 0.24 f10,B,3.0,model/model,68.3,1081.75,0.08199999999999999,1.0,0.18233929319863107,0.010947522767623216,0.0012393886630978164
C,radius,ZAC,ZAC-Std-73 0.24 ECD50/2,B,3.0,model/model,68.3,1081.75,6.5e-07,1.0,5.909255847456978e-07,0.11604204705754902,0.017626143336198156
C,theta,ZAC,ZAC-Std-73 0.3 Theta,B,3.0,model/model,68.3,1065.05,5.9684,1.0,2.6410536387876804,0.007068822805613323,0.006960481760090265
C,fraction,ZAC,ZAC-Std-73 0.3 f10,B,3.0,model/model,68.3,1065.05,0.265,1.0,0.18233929319863115,0.010947522767622793,0.0008411310657612144
C,radius,ZAC,ZAC-Std-73 0.3 ECD50/2,B,3.0,model/model,68.3,1065.05,6e-07,1.0,5.909255847456977e-07,0.11604204705752037,0.00041590652394820954
C,theta,ZAC,ZAC-Std-73 0.38 Theta,B,3.0,model/model,68.3,1037.25,6.107200000000001,1.0,2.64105363878768,0.0070688228056126744,0.0075533058699368185
C,fraction,ZAC,ZAC-Std-73 0.38 f10,B,3.0,model/model,68.3,1037.25,0.091,1.0,0.1823392931986311,0.0109475227676226,0.0010270243429766847
