x1,,,y1,,,z1,,,x2,,,y2,,,z2,,,UO2_Basak (J/m^2),Type,Axis Set,,,,CeO2_Gotte (J/m^2),,,
-9,7,2,-5,-11,16,1,1,1,-7,9,-2,-11,-5,16,1,1,1,1.16,TW,111,,,,1.56,,,
-4,3,1,-2,-5,7,1,1,1,-3,4,-1,-5,-2,7,1,1,1,1.18,TW,111,,,,1.54,,,
-11,8,3,-5,-14,19,1,1,1,-8,11,-3,-14,-5,19,1,1,1,1.29,TW,111,,,,1.56,,,
-10,7,3,-4,-13,17,1,1,1,-7,10,-3,-13,-4,17,1,1,1,1.29,TW,111,,,,1.58,,,
-3,2,1,-1,-4,5,1,1,1,-2,3,-1,-4,-1,5,1,1,1,1.33,TW,111,,,,1.61,,,
-8,5,3,-2,-11,13,1,1,1,-5,8,-3,-11,-2,13,1,1,1,1.33,TW,111,,,,1.70,,,
-5,3,2,-1,-7,8,1,1,1,-3,5,-2,-7,-1,8,1,1,1,1.33,TW,111,,,,1.69,,,
-7,4,3,-1,-10,11,1,1,1,-4,7,-3,-10,-1,11,1,1,1,1.33,TW,111,,,,1.68,,,
-9,5,4,-1,-13,14,1,1,1,-5,9,-4,-13,-1,14,1,1,1,1.30,TW,111,,,,1.65,,,
-11,6,5,-1,-16,17,1,1,1,-6,11,-5,-16,-1,17,1,1,1,1.28,TW,111,,,,1.62,,,
-15,8,7,-1,-22,23,1,1,1,-8,15,-7,-22,-1,23,1,1,1,1.22,TW,111,,,,1.58,,,
-2,1,1,0,-1,1,1,1,1,-1,2,-1,-1,0,1,1,1,1,0.98,TW,111,,,,1.32,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,-1,0,1,0,1,0,4,3,-2,2,2,2,-1,-2,7,10,1.67,MX,111,,,,,,,
2,2,-1,1,-1,0,-1,-1,-4,1,0,0,0,-1,1,0,-1,-1,1.40,MX,111,,,,,,,
2,2,-1,-2,1,-2,-1,2,2,1,0,0,0,-1,1,0,-1,-1,1.68,MX,111,,,,,,,
1,1,0,-1,1,-1,-1,1,2,4,1,1,1,1,-5,-2,7,1,1.80,MX,111,,,,,,,
4,3,-1,1,-2,-2,-8,7,-11,5,0,1,0,-1,0,1,0,-5,1.80,MX,111,,,,,,,
1,-1,-3,1,-2,1,-7,-4,-1,1,-1,3,-1,2,1,-7,-4,1,1.39,MX,111,,,,,,,
-1,3,-2,1,-1,-2,-4,-2,-1,1,-3,-2,1,-1,2,-4,-2,1,1.36,MX,111,,,,,,,
-1,3,-2,1,-1,-2,-4,-2,-1,-1,3,2,-1,1,-2,-4,-2,1,1.82,MX,111,,,,,,,
2,-1,-4,1,-2,1,-3,-2,-1,2,-1,4,-1,2,1,-3,-2,1,1.43,MX,111,,,,,,,
1,2,-4,2,-3,-1,-2,-1,-1,1,-4,2,-2,1,3,-2,-1,-1,1.51,MX,111,,,,,,,
1,1,-5,1,-1,0,-5,-5,-2,1,-1,-1,0,-1,1,-2,-1,-1,1.30,MX,111,,,,,,,
-2,3,1,0,1,-3,-5,-3,-1,2,-3,1,0,1,3,-5,-3,1,1.35,MX,111,,,,,,,
-2,2,1,0,1,-2,-5,-4,-2,0,0,1,-1,2,0,-2,-1,0,2.00,MX,111,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
